"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"California State University Long Beach","Los Angeles","ES20-S00313","06/08/2020 - 17:04","Cell phone data of Kerr.  Kerr vehicle used in armed robbery.  ","Crime of Violence","Robbery"," ","Device Only"," ","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Wed, 2020-02-12","Tue, 2020-03-17","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"California Department of Corrections and Rehabilitation ","Los Angeles","CC202086237","06/08/2020 - 17:39","Fugitive investigation to locate Parolee-at-Large Corner BC5930. ","Arrest/Warrant Fugitive
Theft/Fraud
"," "," ","Business","T-Mobile ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","Mon, 2019-11-04","Mon, 2020-04-06","Theres is a warrant for the person's arrest. ","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"California Department of Corrections and Rehabilitation","Los Angeles","CC202086237","06/08/2020 - 17:42","Fugitive investigation to locate Parolee-at-Large Marcus Corner (BC5930). ","Arrest/Warrant Fugitive
Theft/Fraud
"," "," ","Business","T-Mobile/ Tracfone ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","Thu, 2019-11-14","Thu, 2020-03-19","There is a warrant for the person's arrest. ","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","ES19-11043","06/08/2020 - 17:50","187(a) PC warrant LACBA46246201","Arrest/Warrant Fugitive"," "," ","Business","Facebook and Instagram","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-04-19","Wed, 2019-05-15","There is a warrant to arrest a person","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento County Sheriff's Department","Sacramento","unknown at this time","06/09/2020 - 09:20","The search warrant was ordered ""sealed"" by the court, as it is related to a Homicide Investigation. ","Homicide"," "," ","Business","AT & T, T Mobile, Verizon, and Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Thu, 2020-04-02","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","20SW01083","06/09/2020 - 09:32","The search warrant was ordered ""sealed"" by the court, as it is related to a Homicide Investigation. ","Homicide"," "," ","Business","AT & T, T Mobile, Verizon, Sprint, and Exiant Communications LLC","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Thu, 2020-03-12","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","20SW01083","06/09/2020 - 10:08","The search warrant was ordered ""sealed"" by the court, as it is related to a Homicide Investigation. ","Homicide"," "," ","Business","T Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2020-11-01","Thu, 2020-03-12","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","20SW01084","06/09/2020 - 10:20","The search warrant was ordered ""sealed"" by the court, as it is related to a Homicide Investigation. ","Homicide"," "," ","Business","T Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2020-02-01","Sat, 2020-04-11","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","unknown at this time","06/09/2020 - 10:26","The search warrant was ordered ""sealed"" by the court, as it is related to a Homicide Investigation. ","Homicide"," "," ","Business","Instagram (Facebook)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2020-09-01","Tue, 2020-04-14","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Los Gatos-Monte Sereno Police Department / REACT Task Force","Santa Clara"," ","06/09/2020 - 17:59","Illegal intrusion into cell phone accounts.","Computer Crime Fraud"," ","ID Theft","Business","Comcast Cable Communications","Basic subscriber information from a service provider
IP logs
","Sun, 2020-03-01","Tue, 2020-06-09","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Inglewood PD","Los Angeles"," ","06/10/2020 - 13:17","Victim was stabbed by the suspect.  suspect has child with victims current girlfriend.  suspect stated he had contact with victim prior to the incident occurring. searching victims cellular telephone.","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-06-10","Sat, 2020-06-20","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"UC Irvine Police Department","Orange"," ","06/10/2020 - 14:31","UCIPD received 3 separate reports of ""Zoombombing"" where the suspect exposed his genitals and masturbated to a class via webcam video. The same IP Address was used for all 3 reports. Gmail e-mail addresses were also located.","Indecent Exposure"," "," ","Business","Comcast Cable Communications and Google LLC","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","Wed, 2020-04-01","Sun, 2020-05-31","a provider of electronic communication service or remote computing service has records of evidence, as specified in Penal Code S","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Chico Police Department","Butte"," ","06/11/2020 - 08:56","Missing Person/Homicide ","Homicide"," ","Missing Person","Business","Lyft Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2020-05-17","Sun, 2020-05-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento County Sheriff's Office","Sacramento"," ","06/11/2020 - 09:22","Lumont Otis's homicide investigation.  The search warrant was sealed by order of the Courts.","Homicide"," "," ","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
","Fri, 2020-04-03","Sat, 2020-05-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"California Highway Patrol","Solano"," ","06/11/2020 - 09:28","Fatal traffic crash resulting in two fatalities. ","Vehicular Manslaughter"," "," ","Device Only"," ","Location information
Communications (email, text, voice mail, or other communication)
","Mon, 2020-06-01","Mon, 2020-06-01","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"California Highway Patrol","Alameda"," ","06/11/2020 - 09:34","A crash occurred on Friday, March 20, 2020 at 1713 hours on Tennyson Road at the intersection with Pacific Street, in the city of Hayward. The collision involved a 2017 Ford Police Interceptor Utility, being driven by an on-duty Hayward Police Department Officer, a 2019 Kawasaki Ninja 400 motorcycle and a 2010 Kawasaki Ninja 250R. As a result of the crash, the rider of the 2019 Kawasaki Ninja 400 sustained fatal injuries.","Vehicular Manslaughter"," "," ","Device Only"," ","EDR data","Fri, 2020-03-20","Fri, 2020-03-20","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Anaheim Police Department","Orange","10833","06/11/2020 - 10:13","Video of the the victim who is a minor and under the age of 18 was displayed on the social media platform; Instagram.","Sexual Assault"," ","Minors","Business","Facebook, Inc.","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
Deleted images, deleted photos, deleted e-mails
","Wed, 2020-04-22","Fri, 2020-04-24","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show the following crimes were committed: 311.1(a) PC and 311.11PC
","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Sheriff Dept","Los Angeles","CS20S00234","06/11/2020 - 11:48","Homicide","Homicide"," "," ","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Wed, 2020-01-01","Thu, 2020-03-12","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"California Department of Consumer Affairs","Los Angeles","19LAT0404","06/11/2020 - 15:29","A search warrant was served at Bloom Valley (unlawful dispensary) located at 21729 Devonshire Street Chatsworth, CA 91311. A second warrant was authored for the electronics seized from the first warrant.","Narcotics"," "," ","Business","Bloom Valley","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2018-10-25","Fri, 2019-05-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Santa Clara County Sheriff's Office","Santa Clara"," ","06/15/2020 - 10:58","Suicidal subject refusing to disclose his location.","Emergency Ping"," "," ","Device Only"," ","Location information","Thu, 2020-05-28","Thu, 2020-05-28","Locating a suicidal subject."," ","Yes","Subject threatened to kill himself."
"Stockton Police Department","San Joaquin"," ","06/16/2020 - 08:58","homicide investigation regarding incident that took place in Stockton, CA near Astor/Bedlow in April 2019. ","Homicide"," "," ","Business","Sprint/Tmobile/Att/Verizon & Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-03-01","Tue, 2019-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Stockton Police Department","San Joaquin"," ","06/16/2020 - 09:11","Homicide investigation regarding incident that took place in November 2019 near Navy Dr/Pershing Av. ","Homicide"," "," ","Business","Sprint & Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Tue, 2020-05-19","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Los Angeles Police Department","Los Angeles"," ","06/16/2020 - 09:18","Murder Investigation","Homicide"," ","Gang Related","Business","ATT, TMobile, Sprint, Verizon","Other transactional and account records from a service provider
Location information
","Sun, 2020-04-26","Sun, 2020-04-26","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Oxnard Police Department","Ventura","841-20","06/16/2020 - 10:45","Homicide Investigation","Homicide"," "," ","Business","Google LLC","Location information","Tue, 2019-01-01","Tue, 2019-01-01","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Diego Police Department","San Diego","63567","06/16/2020 - 10:56","Fraud","Theft/Fraud"," "," ","Business","Amazon","Basic subscriber information from a service provider","Fri, 2019-11-01","Thu, 2020-02-06","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"San Diego Police Department","San Diego","63568","06/16/2020 - 10:58","Fraud","Theft/Fraud"," "," ","Business","NameCheap","Basic subscriber information from a service provider","Fri, 2019-11-01","Thu, 2020-02-06","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"San Diego Police Department","San Diego","63569","06/16/2020 - 11:00","Fraud","Theft/Fraud"," "," ","Business","BBVA","Basic subscriber information from a service provider","Fri, 2019-11-01","Thu, 2020-02-06","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"San Diego Police Department","San Diego","63570","06/16/2020 - 11:02","Fraud","Theft/Fraud"," "," ","Business","Intuit","Basic subscriber information from a service provider","Sun, 2019-09-01","Thu, 2019-10-31","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"Chico Police Department","Butte"," ","06/16/2020 - 11:23","Homicide investigation that occurred on 4/15/20 in the City of Chico. Warrant issued to obtain subscriber data and content for mobile communication applications for phone number (475)221-2641. Emails associated with account are unverified. ","Homicide"," "," ","Business","Pinger Inc.","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Thu, 2020-04-16","Mon, 2020-04-27","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Chico Police Department","Butte"," ","06/16/2020 - 11:31","Homicide investigation that occurred on 4/15/20. Account information sought belong to victim of crime. Cellular device search also belonged to victim","Homicide"," "," ","Business
Device Only
","Facebook, Instagram, Snapchat","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2020-03-20","Thu, 2020-04-16","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Jose Police Department","Santa Clara"," ","06/16/2020 - 13:50","The investigation is in response to Facebook reporting that the suspect user used the Facebook account to upload and share a child pornographic video.","Child Exploitation"," "," ","Residence
Device Only
"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-11-11","Thu, 2020-06-11","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
"," ","No"," "
"Sacramento Sheriff's Department","Sacramento"," ","06/16/2020 - 14:28","PC 187","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)","Wed, 2010-06-16","Wed, 2020-03-11","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento Sheriff's Department","Sacramento"," ","06/16/2020 - 14:43","PC 187","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)","Wed, 2010-06-16","Sun, 2020-05-17","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Novato Police Department","Marin"," ","06/16/2020 - 15:51","311.1 PC","Child Exploitation"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Sun, 2020-03-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Bernardino County Sheriff’s Department","Riverside","RI03112020","06/16/2020 - 21:47","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2020-03-11","Fri, 2020-04-10","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff’s Department ","Riverside","N/A","06/16/2020 - 21:53","Narcotics Trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2020-03-13","Sun, 2020-04-12","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff’s Department","Riverside","N/A","06/16/2020 - 21:57","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Other transactional and account records from a service provider","Tue, 2020-03-17","Thu, 2020-04-16","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff’s Department ","Riverside","RI031820203","06/16/2020 - 22:04","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2020-03-18","Fri, 2020-04-17","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff’s Department ","San Bernardino","N/A","06/16/2020 - 22:09","Child endangerment investigation","Child endagerment"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2020-04-23","Sat, 2020-05-23","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Bernardino County Sheriff’s Department","San Bernardino","VVSW 20-0121","06/16/2020 - 22:16"," A gang affiliation investigation","Gang investigation"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2020-01-22","Fri, 2020-02-21","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Bernardino County Sheriff’s Department","San Bernardino","N/A","06/16/2020 - 22:26","A felon in possession of a firearm investigation","Weapon investigation"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Mon, 2020-05-11","Fri, 2020-04-10","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Yolo County District Attorney's Office","Yolo"," ","06/17/2020 - 10:39","Burglary, terroristic threats and violation of restraining order","Threats/Harassment"," "," ","Business","Google LLC.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2020-02-18","Mon, 2020-04-06","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Folsom Police Department","Sacramento"," ","06/17/2020 - 16:12","embezzlement and burglary that occurred.  Search warrant was for call detail records of the suspects cellular device.  ","Theft/Fraud"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
","Fri, 2019-11-01","Thu, 2019-11-28","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"folsom Police department","Sacramento"," ","06/17/2020 - 16:15","Burglary of a business, Call detail records warrant of suspects phone for text conversation and location history. ","Theft/Fraud"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
","Fri, 2019-11-01","Fri, 2019-11-29","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Folsom Police Department","Sacramento"," ","06/17/2020 - 16:17","Mail theft, id theft, fraud, call detail records to show location history and text communication with conspiritors","Theft/Fraud"," ","ID Theft","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-04-01","Mon, 2020-05-11","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"California Highway Patrol","Contra Costa"," ","06/17/2020 - 16:21","fatal traffic collision investigation involving a wrong way driver who was suspected to be under the influence of alcohol.","Vehicular homicide"," "," ","Device Only"," ","EDR data","Sun, 2020-06-07","Sun, 2020-06-07","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Humboldt County Sheriff's Office","Humboldt","SW2000230","06/18/2020 - 15:00","Attempted homicide by shooting at Sheriff's Deputy.","Crime of Violence","Assault"," ","Business","Google, LLC","Location information","Mon, 2020-04-13","Mon, 2020-04-13","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Oxnard Police Department","Ventura"," ","06/18/2020 - 17:02","minor victim became pregnant by adult suspect. She communicated with him via facebook prior to them getting together and having sex with each other. ","Sex crime with a minor"," "," ","Business","facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2018-01-01","Fri, 2020-03-06","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"UC Merced Police Department","Merced"," ","06/18/2020 - 19:08","Based on social media posts to obtain the identity of ucmking1, to further investigate the sales of prescription drugs, possession of a controlled substance, and possession of control substance for sale which has been posted on social media sites affiliated with UC Merced students. ","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
","Sun, 2019-10-27","Wed, 2020-01-29","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Yolo County District Attorney's Office","Yolo"," ","06/19/2020 - 11:36","Terroristic Threats, Violation of restraining order and Burglary","Threats/Harassment"," "," ","Business","Sprint Corporation","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-01-01","Mon, 2020-04-06","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"San Joaquin County Sheriff's Office","San Joaquin"," ","06/19/2020 - 11:44","Homicide investigation search of phone numbers to identify the suspects.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2020-04-26","Wed, 2020-04-29","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"L.A. IMPACT","Los Angeles","EM-20-500033","06/19/2020 - 14:32","Narcotics","Narcotics"," "," ","Device Only"," ","Communications (email, text, voice mail, or other communication)","Thu, 2020-02-13","Fri, 2020-03-13","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Walnut Creek PD","Contra Costa","MS20-0322","06/19/2020 - 17:53","Investigation into online activity related to fraud.","Theft/Fraud"," "," ","Business","Sprint","Basic subscriber information from a service provider","Sat, 2020-04-11","Mon, 2020-04-13","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Sacramento County Sheriff's Department","Sacramento"," ","06/22/2020 - 10:18","Homicide Investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2021-01-21","Tue, 2020-06-16","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento County Sheriff's Department","Sacramento"," ","06/22/2020 - 12:54","Homicide Investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider","Wed, 2020-02-26","Wed, 2020-06-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Los Angeles Police Department","Los Angeles","CC2020 87324","06/22/2020 - 13:52","Investigation related to child sexual assault material / child sexual exploitation.","Child Exploitation"," "," ","Business","Google","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-01-01","Tue, 2020-05-12","tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","CC2020 87325","06/22/2020 - 15:08","Child Sexual Assault Material / Child Sexual Exploitation","Child Exploitation"," "," ","Business","Kik, Microsoft","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-02-19","Tue, 2020-04-28","tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Monterey County District Attorney","Monterey","20-240","06/22/2020 - 15:30","Unlawful Cannabis Cultivation.","Narcotics"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2018-10-01","Thu, 2019-10-03","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento County Sheriff's Department","Sacramento"," ","06/23/2020 - 10:31","Homicide Investigation","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-09-25","Wed, 2019-12-25","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Inglewood PD","Los Angeles","CC2020-87464","06/23/2020 - 11:34","Homicide","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2018-09-01","Mon, 2020-01-27","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"El Dorado County District Attorney's Office","El Dorado","P20SW0277","06/23/2020 - 11:42","Unlawful access to an email account, identity theft, and fraudulent purchases.","Computer Crime Fraud"," ","ID Theft","Business","Amazon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Thu, 2020-05-14","Thu, 2020-05-14","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"El Dorado County District Attorney's Office","El Dorado","P20SW0276","06/23/2020 - 11:45","Unlawful access to an email account, identity theft, and fraudulent purchases.","Computer Crime Fraud"," ","ID Theft","Business","Charter Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Wed, 2020-05-13","Thu, 2020-05-14","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"El Dorado County District Attorney's Office","El Dorado","P20SW0275","06/23/2020 - 11:49","Unlawful access to an email account, identity theft, and fraudulent purchases.","Computer Crime Fraud"," ","ID Theft","Business","Jasper Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Fri, 2020-05-08","Fri, 2020-05-08","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
